Dataset,Classifier,Accuracy,F1 Score
Wafer,FCN,0.9975665152498377,0.997554293294844
Wafer,MLP,0.9938351719662557,0.993859367617064
Wafer,CNN,0.959279688513952,0.9553361020535714
HandOutlines,FCN,0.6972972972972973,0.6161508079596817
HandOutlines,MLP,0.9108108108108108,0.9104220050444224
HandOutlines,CNN,0.8594594594594595,0.8616382160046543
Strawberry,FCN,0.9756756756756757,0.9757726281676746
Strawberry,MLP,0.6945945945945946,0.6943558903061894
Strawberry,CNN,0.9594594594594594,0.9596210469461246
TwoPatterns,FCN,0.85175,0.851856466910717
TwoPatterns,MLP,0.86325,0.863286618090254
TwoPatterns,CNN,0.9925,0.9925009026919562
DistalPhalanxOutlineCorrect,FCN,0.7608695652173914,0.7590361445783133
DistalPhalanxOutlineCorrect,MLP,0.6884057971014492,0.6436156436156436
DistalPhalanxOutlineCorrect,CNN,0.7934782608695652,0.7894248608534322
